,symbol,interval,open_time,open,high,low,close,volume,turnover
2021-01-01 08:00:00,BTCUSD,720,1609459200,28955,29541,28740,29412,1437613641,49124.06488889239
2021-01-01 20:00:00,BTCUSD,720,1609502400,29412,29724,28715.5,29394.5,1475402607,50392.0870853613
2021-01-02 08:00:00,BTCUSD,720,1609545600,29394.5,29965,29051,29840,1392941823,47002.303879908795
2021-01-02 20:00:00,BTCUSD,720,1609588800,29840,33433,29833.5,32214.5,6218863924,195497.19175500775
2021-01-03 08:00:00,BTCUSD,720,1609632000,32214.5,34861,32013,34437.5,3792980972,112327.82553606806
2021-01-03 20:00:00,BTCUSD,720,1609675200,34437.5,34598,32370.5,33092,4162311887,124763.77556096188
2021-01-04 08:00:00,BTCUSD,720,1609718400,33092,33662,27744,30750.5,5544706406,178686.16891850843
2021-01-04 20:00:00,BTCUSD,720,1609761600,30750.5,32145.5,30469.5,32050.5,3026326026,96609.62029442583
2021-01-05 08:00:00,BTCUSD,720,1609804800,32050.5,32897.5,29930,31833,3382669054,107490.08029086358
2021-01-05 20:00:00,BTCUSD,720,1609848000,31833,34562.5,31152.5,34088,3343930657,101254.01005977782
2021-01-06 08:00:00,BTCUSD,720,1609891200,34088,35969,33381,35086.5,3496106760,100872.21820012461
2021-01-06 20:00:00,BTCUSD,720,1609934400,35086.5,37052.5,34191.5,36886.5,4202205682,118731.36833117761
2021-01-07 08:00:00,BTCUSD,720,1609977600,36886.5,38080.5,36388,37990,2840293063,76289.69816830299
2021-01-07 20:00:00,BTCUSD,720,1610020800,37990,40544,36555,39500,7877053374,202595.7956501217
2021-01-08 08:00:00,BTCUSD,720,1610064000,39500,41686,36500,41449,5127282689,131728.93590528332
2021-01-08 20:00:00,BTCUSD,720,1610107200,41449,42097,38666,40614.5,5725195075,141096.691962809
2021-01-09 08:00:00,BTCUSD,720,1610150400,40614.5,41333.5,38700,40631,3119323827,77768.90472760641
2021-01-09 20:00:00,BTCUSD,720,1610193600,40631,41533,40005,40300,2589357633,63595.58583596905
2021-01-10 08:00:00,BTCUSD,720,1610236800,40300,41550,38877,39156.5,2571340088,63516.37217263087
2021-01-10 20:00:00,BTCUSD,720,1610280000,39156.5,40040,34971,38221.5,6986976365,183543.3760321448
2021-01-11 08:00:00,BTCUSD,720,1610323200,38221.5,38298.5,32507.5,34173,7744381797,221882.81652193202
2021-01-11 20:00:00,BTCUSD,720,1610366400,34173,35516.5,30404,35324.5,8585741742,263332.93086245493
2021-01-12 08:00:00,BTCUSD,720,1610409600,35324.5,36744.5,33732.5,35423.5,3372436436,95482.66562977782
2021-01-12 20:00:00,BTCUSD,720,1610452800,35423.5,35748,32560,34037.5,4768084309,139471.1601736284
2021-01-13 08:00:00,BTCUSD,720,1610496000,34037.5,35289,32330.5,34384.5,3828805259,113515.80252271098
2021-01-13 20:00:00,BTCUSD,720,1610539200,34384.5,37850,34030,37421.5,3733709130,103636.14613427335
2021-01-14 08:00:00,BTCUSD,720,1610582400,37421.5,38847.5,36750,38422,2607873359,68901.60818425137
2021-01-14 20:00:00,BTCUSD,720,1610625600,38422,40181.5,37756,39144.5,3978009711,101340.17771406015
2021-01-15 08:00:00,BTCUSD,720,1610668800,39144.5,39748.5,37503.5,38125,2119801115,54996.37157945815
2021-01-15 20:00:00,BTCUSD,720,1610712000,38125,38220,34295,36737,5841489271,162010.78029934719
2021-01-16 08:00:00,BTCUSD,720,1610755200,36737,37996,35512,37740.5,2630148280,71290.14201039643
2021-01-16 20:00:00,BTCUSD,720,1610798400,37740.5,37955,35323.5,35933.5,2887657427,78478.997848989
2021-01-17 08:00:00,BTCUSD,720,1610841600,35933.5,36732,33834.5,35273,2735893178,77604.35530702898
2021-01-17 20:00:00,BTCUSD,720,1610884800,35273,36907.5,34710.5,35879.5,2082335098,58227.294266560195
2021-01-18 08:00:00,BTCUSD,720,1610928000,35879.5,36697.5,34768,36483,1792311773,50082.25861513948
2021-01-18 20:00:00,BTCUSD,720,1610971200,36483,37548.5,35353.5,36661,2394405759,65807.88725127884
2021-01-19 08:00:00,BTCUSD,720,1611014400,36661,37680,36267.5,37413,1853340726,50109.2139365021
2021-01-19 20:00:00,BTCUSD,720,1611057600,37413,37955,35792.5,35843,2553664127,69202.42233912287
2021-01-20 08:00:00,BTCUSD,720,1611100800,35843,36428,33984,34409,2760957048,78446.05430360709
2021-01-20 20:00:00,BTCUSD,720,1611144000,34409,35712.5,33342.5,35538,2497038396,72056.46372123974
2021-01-21 08:00:00,BTCUSD,720,1611187200,35538,35641,31992,32160.5,2682922762,79692.06505997709
2021-01-21 20:00:00,BTCUSD,720,1611230400,32160.5,32783.5,30005,30821,4452806707,141061.30503200513
2021-01-22 08:00:00,BTCUSD,720,1611273600,30821,32050,28829.5,31740,3580833851,116755.63934449982
2021-01-22 20:00:00,BTCUSD,720,1611316800,31740,33850,31347,33000.5,2197263887,67234.22436704602
2021-01-23 08:00:00,BTCUSD,720,1611360000,33000.5,33504,31581.5,31682,1711242507,52519.90212828125
2021-01-23 20:00:00,BTCUSD,720,1611403200,31682,32581,31443,32087.5,1470940580,45865.623309608694
2021-01-24 08:00:00,BTCUSD,720,1611446400,32087.5,33134,31641.5,32901,1056023086,32490.25773286025
2021-01-24 20:00:00,BTCUSD,720,1611489600,32901,33004,30948.5,32290.5,1605435367,50313.02625155089
2021-01-25 08:00:00,BTCUSD,720,1611532800,32290.5,33840.5,32216.5,33210,1404485964,42412.757115309665
2021-01-25 20:00:00,BTCUSD,720,1611576000,33210,34881.5,31914,32240.5,2661425829,79393.11012632902
2021-01-26 08:00:00,BTCUSD,720,1611619200,32240.5,32828.5,31103.5,31814.5,1780315375,55690.872455947465
2021-01-26 20:00:00,BTCUSD,720,1611662400,31814.5,32940,30819.5,32508,1731333116,54346.899774058154
2021-01-27 08:00:00,BTCUSD,720,1611705600,32508,32571.5,30586,30640,1423090724,45083.05551719128
2021-01-27 20:00:00,BTCUSD,720,1611748800,30640,31711.5,29250,30387.5,3365360011,110548.29413634338
2021-01-28 08:00:00,BTCUSD,720,1611792000,30387.5,31917,29875.5,31474,1422128601,45629.075731930774
2021-01-28 20:00:00,BTCUSD,720,1611835200,31474,33830,31200,33459.5,2332769412,71791.91651765243
2021-01-29 08:00:00,BTCUSD,720,1611878400,33459.5,38533.5,32023.5,37194,6334246590,178973.60041876166
2021-01-29 20:00:00,BTCUSD,720,1611921600,37194,38735,33489,34220.5,5070498577,141054.928028867
2021-01-30 08:00:00,BTCUSD,720,1611964800,34220.5,34947,32810,33703.5,1869701964,55105.153472541904
2021-01-30 20:00:00,BTCUSD,720,1612008000,33703.5,34825,33510.5,34330,1205502825,35241.95165213132
2021-01-31 08:00:00,BTCUSD,720,1612051200,34330,34387.5,33250,33614,1091468548,32257.097686439745
2021-01-31 20:00:00,BTCUSD,720,1612094400,33614,34261.5,32190,33136.5,1645727352,49740.82603467774
2021-02-01 08:00:00,BTCUSD,720,1612137600,33136.5,34797,32327,34240,1957071089,57928.72467403086
2021-02-01 20:00:00,BTCUSD,720,1612180800,34240,34500,33162,33532.5,1158628448,34335.66994654881
2021-02-02 08:00:00,BTCUSD,720,1612224000,33532.5,35720.5,33444,34790,1605979086,46457.22068747118
2021-02-02 20:00:00,BTCUSD,720,1612267200,34790,36020,34440,35524.5,1741365562,49514.97098131856
2021-02-03 08:00:00,BTCUSD,720,1612310400,35524.5,36900,35433,36050,1669577449,46054.66709994052
2021-02-03 20:00:00,BTCUSD,720,1612353600,36050,37740,35910,37712.5,1904817837,51514.227016218036
2021-02-04 08:00:00,BTCUSD,720,1612396800,37712.5,38895,36866,37386,2593695538,68594.7633574014
2021-02-04 20:00:00,BTCUSD,720,1612440000,37386,37850,36191,37017,2277317188,61271.02913511844
2021-02-05 08:00:00,BTCUSD,720,1612483200,37017,37888,36638,37783.5,1337604770,35762.80381301151
2021-02-05 20:00:00,BTCUSD,720,1612526400,37783.5,38426.5,37251.5,38392.5,2068733475,54514.15710621952
2021-02-06 08:00:00,BTCUSD,720,1612569600,38392.5,40547,38314.5,40272.5,2892020102,73415.56566043527
2021-02-06 20:00:00,BTCUSD,720,1612612800,40272.5,41002.5,39173,39308,2670589949,66271.4564140481
2021-02-07 08:00:00,BTCUSD,720,1612656000,39308,39844.5,38005,39191.5,2512374337,64370.59045609906
2021-02-07 20:00:00,BTCUSD,720,1612699200,39191.5,39397.5,37458,38870,2546534740,66373.34107504868
2021-02-08 08:00:00,BTCUSD,720,1612742400,38870,39579.5,38032,39516.5,1645158552,42290.93534360982
2021-02-08 20:00:00,BTCUSD,720,1612785600,39516.5,47000,39203,46552,10999101140,252334.70698577396
2021-02-09 08:00:00,BTCUSD,720,1612828800,46552,48315.5,45690,46508,3725986372,79388.66080154336
2021-02-09 20:00:00,BTCUSD,720,1612872000,46508,47589,45000,46510,3618064170,77637.34340033284
2021-02-10 08:00:00,BTCUSD,720,1612915200,46510,47531,45739,46719.5,2197318018,47124.30559201853
2021-02-10 20:00:00,BTCUSD,720,1612958400,46719.5,46726.5,43758,44888,4217896936,93519.40537345575
2021-02-11 08:00:00,BTCUSD,720,1613001600,44888,46664,44100,46176,2177103273,48185.68516837674
2021-02-11 20:00:00,BTCUSD,720,1613044800,46176,48838,46175.5,48103,4619208879,96768.13178014292
2021-02-12 08:00:00,BTCUSD,720,1613088000,48103,49238,46855,47750.5,3191884152,66718.88158218398
2021-02-12 20:00:00,BTCUSD,720,1613131200,47750.5,48310,46162,47455,3247518179,68354.71270427492
2021-02-13 08:00:00,BTCUSD,720,1613174400,47455,48343.5,46277,46625.5,2182617948,46053.65193048411
2021-02-13 20:00:00,BTCUSD,720,1613217600,46625.5,47507.5,46250,47255.5,1816699197,38602.65640013203
2021-02-14 08:00:00,BTCUSD,720,1613260800,47255.5,49605,47150,49235,2581303030,53032.28502510109
2021-02-14 20:00:00,BTCUSD,720,1613304000,49235,49926.5,48210,48694.5,2535508466,51680.90674856129
2021-02-15 08:00:00,BTCUSD,720,1613347200,48694.5,49140,45830,47912.5,3804455868,80467.129432285
2021-02-15 20:00:00,BTCUSD,720,1613390400,47912.5,48932,47563,47993.5,2370069608,49070.12470302492
2021-02-16 08:00:00,BTCUSD,720,1613433600,47993.5,50240,47070,48990.5,3310592951,67818.16316254348
2021-02-16 20:00:00,BTCUSD,720,1613476800,48990.5,50855,47840,49235,4568506439,92949.42774715116
2021-02-17 08:00:00,BTCUSD,720,1613520000,49235,51923,49079.5,51400,5095939930,101023.62559247378
2021-02-17 20:00:00,BTCUSD,720,1613563200,51400,52735,50632,52188,3654755599,70775.68371729097
2021-02-18 08:00:00,BTCUSD,720,1613606400,52188,52667,51149,51444.5,2823397108,54345.68779426021
2021-02-18 20:00:00,BTCUSD,720,1613649600,51444.5,52374,50872,51613.5,3222677077,62202.81928174577
2021-02-19 08:00:00,BTCUSD,720,1613692800,51613.5,53088,50684,52814,2984815426,57506.270401293434
2021-02-19 20:00:00,BTCUSD,720,1613736000,52814,56395.5,52445,55850,5782412835,105964.88784799102
2021-02-20 08:00:00,BTCUSD,720,1613779200,55850,56725.5,55103.5,56441.5,2711407421,48434.30086461664
