,symbol,interval,open_time,open,high,low,close,volume,turnover
2021-01-01 08:00:00,BTCUSD,M,1609459200,28955,42097,27744,33136.5,198439293229,5719965.282650403
2021-02-01 08:00:00,BTCUSD,M,1612137600,33136.5,58500,32327,45239.5,200016927237,4264636.836373888
2021-03-01 08:00:00,BTCUSD,M,1614556800,45239.5,62000,45087,58822,252191611259,4600344.308282002
2021-04-01 08:00:00,BTCUSD,M,1617235200,58822,64990,47000,57763.5,219597504143,3888753.879767151
2021-05-01 08:00:00,BTCUSD,M,1619827200,57763.5,59697,29800,37253.5,219144807279,5002693.964601777
2021-06-01 08:00:00,BTCUSD,M,1622505600,37253.5,41338,28726.5,35027,150972604322,4294635.148608308
2021-07-01 08:00:00,BTCUSD,M,1625097600,35027,42444,29258,41447,116095012975,3360868.9300300227
2021-08-01 08:00:00,BTCUSD,M,1627776000,41447,50564.5,37282.5,47177,140234638444,3109142.5455961106
2021-09-01 08:00:00,BTCUSD,M,1630454400,47177,52949,39500,43800,119770759770,2606716.261950771
2021-10-01 08:00:00,BTCUSD,M,1633046400,43800,67167.5,43282,61421.5,121117874649,2094281.8587584647
2021-11-01 08:00:00,BTCUSD,M,1635724800,61421.5,69182.5,55200,58962.5,70356531869,1138625.9043791504
