symbol,interval,open_time,open,high,low,close,volume,turnover
BTCUSD,240,1635696000,60550.5,60981,60300,60785,241804299,3983.6377300998743
BTCUSD,240,1635710400,60785,61724.5,60617,61421.5,305457089,4980.816607029887
BTCUSD,240,1635724800,61421.5,61810,59647,59970.5,656075161,10805.703490690224
BTCUSD,240,1635739200,59970.5,62404.5,59408.5,62300,744985731,12202.13313284867
BTCUSD,240,1635753600,62300,62574.5,61744,61918.5,521519561,8386.460201419914
BTCUSD,240,1635768000,61918.5,62276,61387.5,61625.5,377313867,6103.7142182909965
BTCUSD,240,1635782400,61625.5,61625.5,60384,61488,535314237,8781.061208840378
BTCUSD,240,1635796800,61488,61493.5,60400,60910.5,394141621,6474.223522669385
BTCUSD,240,1635811200,60910.5,61623.5,60619.5,61134.5,393323530,6434.559305830158
BTCUSD,240,1635825600,61134.5,61895,61134,61611,294999700,4784.8563483501375
BTCUSD,240,1635840000,61611,63700,61476,63077.5,882186420,14023.71334030979
BTCUSD,240,1635854400,63077.5,64390.5,63077.5,64130.5,800613314,12589.673483500012
BTCUSD,240,1635868800,64130.5,64323.5,63355,63678.5,463378345,7268.351259299758
BTCUSD,240,1635883200,63678.5,63678.5,62624,63289,472356712,7485.666044550064
BTCUSD,240,1635897600,63289,63630,62845,63273.5,373944858,5913.1283103001215
BTCUSD,240,1635912000,63273.5,63565,62815.5,63432,254563353,4036.397876860245
BTCUSD,240,1635926400,63432,63488,63000,63219.5,262400933,4150.129474010141
BTCUSD,240,1635940800,63219.5,63219.5,61652,62235,891463570,14317.56486737102
BTCUSD,240,1635955200,62235,63400,59813,62870,1086806995,17492.39323369994
BTCUSD,240,1635969600,62870,63279.5,62767,62954,244255658,3877.52098337029
BTCUSD,240,1635984000,62954,63151,62047,62534,324335512,5177.76506963029
BTCUSD,240,1635998400,62534,62900,61913,61935.5,306363789,4903.574920319913
BTCUSD,240,1636012800,61935.5,62381.5,61316,61520,567791133,9191.842641370918
BTCUSD,240,1636027200,61520,62448,60842,61115,653266241,10603.53373321919
BTCUSD,240,1636041600,61115,61400,60623.5,61260,438010792,7172.000142370623
BTCUSD,240,1636056000,61260,61581,61050,61465.5,210702816,3434.9430414899966
BTCUSD,240,1636070400,61465.5,62357,60866,62282,338993740,5492.979710790657
BTCUSD,240,1636084800,62282,62649,61936,62195,306494348,4919.799041049758
BTCUSD,240,1636099200,62195,62345.5,61239,61315.5,465200157,7530.923933189944
BTCUSD,240,1636113600,61315.5,61975,60784,60844.5,577850280,9423.156679399946
BTCUSD,240,1636128000,60844.5,61474.5,60800,61172.5,305050431,4995.399209849998
BTCUSD,240,1636142400,61172.5,61428.5,60811.5,61060,250563218,4098.599127949989
BTCUSD,240,1636156800,61060,61356.5,60876,61200,193361420,3162.0979113699555
BTCUSD,240,1636171200,61200,61600,60450,60834.5,370240873,6065.663663090052
BTCUSD,240,1636185600,60834.5,61467.5,60202.5,60427,568040948,9334.555093980498
BTCUSD,240,1636200000,60427,60800,60146.5,60721.5,325643365,5381.475516109542
BTCUSD,240,1636214400,60721.5,61253,60500,61247.5,239301131,3932.120956830254
BTCUSD,240,1636228800,61247.5,61549.5,61196,61534,192601013,3137.534762269962
BTCUSD,240,1636243200,61534,62435,61446.5,62240,401445287,6473.998958469832
BTCUSD,240,1636257600,62240,62383,61780,61836.5,191161578,3079.5763322599746
BTCUSD,240,1636272000,61836.5,62468,61582,62019,351102018,5663.18678745027
BTCUSD,240,1636286400,62019,62237,61828.5,62054,257818042,4157.907137870031
BTCUSD,240,1636300800,62054,62628,62053.5,62422,274369949,4399.391585870264
BTCUSD,240,1636315200,62422,63341,62305.5,63340.5,382512903,6077.333373190384
BTCUSD,240,1636329600,63340.5,65845.5,63340.5,65287.5,1017739510,15698.905046520336
BTCUSD,240,1636344000,65287.5,66456,65191,66015,670889084,10197.981224670053
BTCUSD,240,1636358400,66015,66541,65710.5,66118.5,463877667,7015.391078219656
BTCUSD,240,1636372800,66118.5,66666,65213,66485,688657976,10459.977243999849
BTCUSD,240,1636387200,66485,66610,65802,65905.5,358170190,5415.422998959733
BTCUSD,240,1636401600,65905.5,67900,65427.5,67623.5,720506921,10787.389658799535
BTCUSD,240,1636416000,67623.5,68601,67155.5,68584.5,657914609,9699.268785180826
BTCUSD,240,1636430400,68584.5,68585,67750.5,67972.5,459071708,6733.854548450267
BTCUSD,240,1636444800,67972.5,68329,67446,67714,414304721,6101.102149540336
BTCUSD,240,1636459200,67714,68195.5,66677,66845,944692787,14022.945753890903
BTCUSD,240,1636473600,66845,67352.5,66217,66899.5,676410168,10127.420112470612
BTCUSD,240,1636488000,66899.5,67829.5,66726,66969.5,534763429,7949.80033865999
BTCUSD,240,1636502400,66969.5,67418.5,66485,66578.5,451592741,6741.791357150462
BTCUSD,240,1636516800,66578.5,66806.5,66312,66506,279896635,4205.685250520339
BTCUSD,240,1636531200,66506,67162,66446,66612.5,292583506,4377.381273839951
BTCUSD,240,1636545600,66612.5,69182.5,65702.5,68438.5,1458466568,21557.214188929178
BTCUSD,240,1636560000,68438.5,68855.5,66644,66743,859125616,12645.002982790278
BTCUSD,240,1636574400,66743,67034.5,62222,64907.5,2642337225,40690.329362200406
BTCUSD,240,1636588800,64907.5,65073.5,64169,64773.5,495979190,7675.324126070015
BTCUSD,240,1636603200,64773.5,65399.5,64447,65233.5,269173865,4150.297170999909
BTCUSD,240,1636617600,65233.5,65627,64633,65285,385141368,5904.435459109413
BTCUSD,240,1636632000,65285,65525,64500,64843,527422933,8115.439757640019
BTCUSD,240,1636646400,64843,65299,64645.5,65193.5,240044080,3692.7980335097213
BTCUSD,240,1636660800,65193.5,65392.5,64826.5,64852.5,233041290,3581.238589800058
BTCUSD,240,1636675200,64852.5,65567,64106,64879.5,501710869,7732.965270049688
BTCUSD,240,1636689600,64879.5,65100,64282,64542,268276595,4147.951268700134
BTCUSD,240,1636704000,64542,64992.5,63588.5,63805.5,821914241,12821.151069759071
BTCUSD,240,1636718400,63805.5,64240,62903,63195.5,801746455,12608.330811980906
BTCUSD,240,1636732800,63195.5,64126.5,62301,63929,785812199,12440.081596788423
BTCUSD,240,1636747200,63929,64569.5,63725.5,64168.5,297459649,4637.753545240164
BTCUSD,240,1636761600,64168.5,64475,63560.5,63804.5,254430879,3973.900047839948
BTCUSD,240,1636776000,63804.5,64157,63549,64071,162446420,2545.604431349906
BTCUSD,240,1636790400,64071,64103,63409.5,63616,187106262,2936.7819656904326
BTCUSD,240,1636804800,63616,64820,63479.5,64709.5,397939272,6190.907353241472
BTCUSD,240,1636819200,64709.5,65050,63853,63955,386497524,5998.5850501699115
BTCUSD,240,1636833600,63955,64577,63955,64415,145493232,2263.8095249898884
BTCUSD,240,1636848000,64415,65388,64415,64681,373681166,5758.631269600609
BTCUSD,240,1636862400,64681,65182,64470,64664,230381180,3552.5425016601007
BTCUSD,240,1636876800,64664,64794,64109.5,64473.5,233077452,3621.603589129966
BTCUSD,240,1636891200,64473.5,64804.5,63900,64103,312585403,4853.391083429896
BTCUSD,240,1636905600,64103,64446.5,63633,64174.5,379433860,5928.010802130139
BTCUSD,240,1636920000,64174.5,65561,64116,65560.5,439042864,6778.589152919856
BTCUSD,240,1636934400,65560.5,66258.5,65560.5,65780.5,492343843,7473.06546166112
