,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-01 08:00:00,BTCUSD,30,28955.0,29035.0,28740.0,28860.5,65874178,-58.16880830547234,-36.081640240774846,27510.094415422886,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 08:30:00,BTCUSD,30,28860.5,29064.5,28860.5,29044.5,34208634,-25.693529013820807,-34.00401799538404,27525.36213268236,Bull,0,-1.0,Enter Long,29437.71,28571.895,0.0,0.0
2021-01-01 09:00:00,BTCUSD,30,29044.5,29466.5,29006.5,29434.0,191987454,31.114094693471998,-20.980395457612833,27544.353554247708,Bull,0,0.0,Exit Long,29437.71,28571.895,200.0,0.0
2021-01-01 09:30:00,BTCUSD,30,29434.0,29541.0,29371.0,29455.5,123297257,76.98201532233725,-1.3879133016228167,27563.369936792507,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,BTCUSD,30,29455.5,29500.0,29256.5,29368.0,78557089,105.0610754694826,19.901884452598267,27581.326454834372,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 10:30:00,BTCUSD,30,29368.0,29407.5,29172.0,29276.0,77919096,118.52403056517505,39.62631367511362,27598.188878169352,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 11:00:00,BTCUSD,30,29276.0,29365.0,29229.5,29277.0,38561268,127.80100073341964,57.26125108677483,27614.893466446276,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 11:30:00,BTCUSD,30,29277.0,29400.0,29267.5,29345.5,34049549,139.07724800787764,73.62445047099538,27632.113431954273,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 12:00:00,BTCUSD,30,29345.5,29443.0,29345.5,29400.5,26427962,150.71445316013705,89.04245100882372,27649.709318203484,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 12:30:00,BTCUSD,30,29400.5,29419.0,29122.0,29282.0,74357241,148.66138650552602,100.96623810816418,27665.951016529816,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 13:00:00,BTCUSD,30,29282.0,29283.0,29157.5,29243.5,43735053,142.28748657378674,109.23048780128869,27681.648021340465,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 13:30:00,BTCUSD,30,29243.5,29279.0,29199.5,29252.5,26672440,136.39012923041446,114.66241608711384,27697.278389287327,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 14:00:00,BTCUSD,30,29252.5,29326.0,29195.5,29196.0,44385159,125.70826659124214,116.8715861879395,27712.19104213024,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 14:30:00,BTCUSD,30,29196.0,29278.5,29176.0,29243.0,21992955,119.6560008016786,117.42846911068732,27727.422972059292,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 15:00:00,BTCUSD,30,29243.0,29261.0,28903.0,29102.0,79433478,102.30273272379782,114.40332183330942,27741.100355421888,Bull,1,1.0,,0.0,0.0,0.0,0.0
2021-01-01 15:30:00,BTCUSD,30,29102.0,29173.5,29090.0,29158.0,17470828,92.00826077988677,109.92430962262489,27755.19885934804,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,BTCUSD,30,29158.0,29233.5,28955.0,29088.5,78391434,77.35010457562748,103.40946861322541,27768.465537364475,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 16:30:00,BTCUSD,30,29088.5,29192.0,29009.5,29088.5,47383992,64.98431148595773,95.72443718777188,27781.60020863448,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,BTCUSD,30,29088.5,29315.0,29061.5,29284.5,40879003,70.19077773780373,90.61770529777826,27796.554435414237,Bull,1,0.0,,0.0,0.0,0.0,0.0
