,symbol,interval,open_time,open,high,low,close,volume,turnover
2020-12-27 20:00:00,BTCUSD,30,1609070400,27608.5,27608.5,26571,26923.5,473570102,17544.39597686004
2020-12-27 20:30:00,BTCUSD,30,1609072200,26923.5,27333,26808.5,27179.5,169135052,6226.205696069948
2020-12-27 21:00:00,BTCUSD,30,1609074000,27179.5,27345,27039,27250,122420659,4500.076877940003
2020-12-27 21:30:00,BTCUSD,30,1609075800,27250,27580,27145.5,27501,107617070,3927.8825500800285
2020-12-27 22:00:00,BTCUSD,30,1609077600,27501,27730,27442.5,27579,117454843,4253.214837169991
2020-12-27 22:30:00,BTCUSD,30,1609079400,27579,27708.5,27255.5,27338.5,155240103,5650.34455519005
2020-12-27 23:00:00,BTCUSD,30,1609081200,27338.5,27480,27039.5,27146,171306546,6282.636267270026
2020-12-27 23:30:00,BTCUSD,30,1609083000,27146,27395.5,27123.5,27357.5,93730481,3434.8456125200514
2020-12-28 00:00:00,BTCUSD,30,1609084800,27357.5,27467.5,26678.5,26984,273316313,10107.576792410024
2020-12-28 00:30:00,BTCUSD,30,1609086600,26984,27092,26633,27079,198723452,7404.673472450023
2020-12-28 01:00:00,BTCUSD,30,1609088400,27079,27079.5,26825,26912.5,74834287,2778.4759450599768
2020-12-28 01:30:00,BTCUSD,30,1609090200,26912.5,27050,26699,26823.5,69529400,2589.8450636600182
2020-12-28 02:00:00,BTCUSD,30,1609092000,26823.5,26995.5,26575.5,26940,84749083,3164.0915710499817
2020-12-28 02:30:00,BTCUSD,30,1609093800,26940,27081,26743,27081,56601774,2103.2229557300197
2020-12-28 03:00:00,BTCUSD,30,1609095600,27081,27297.5,27012.5,27150.5,78378537,2887.813920039993
2020-12-28 03:30:00,BTCUSD,30,1609097400,27150.5,27200.5,27064,27089,34429386,1269.0688153700062
2020-12-28 04:00:00,BTCUSD,30,1609099200,27089,27089,26806,26845.5,79223627,2942.0037125899858
2020-12-28 04:30:00,BTCUSD,30,1609101000,26845.5,26926,26190,26221,251781820,9516.214835700091
2020-12-28 05:00:00,BTCUSD,30,1609102800,26221,26350,25801.5,26002,239308507,9180.827900709985
2020-12-28 05:30:00,BTCUSD,30,1609104600,26002,26445,25985,26385,106006497,4029.417983369971
2020-12-28 06:00:00,BTCUSD,30,1609106400,26385,26634,26317,26390.5,108441610,4095.0578252100204
2020-12-28 06:30:00,BTCUSD,30,1609108200,26390.5,26555,26238,26483,83049741,3147.2178209399967
2020-12-28 07:00:00,BTCUSD,30,1609110000,26483,26673.5,26365,26568.5,64869932,2446.3839969799983
2020-12-28 07:30:00,BTCUSD,30,1609111800,26568.5,26638,26190,26228.5,94408171,3577.178185820014
2020-12-28 08:00:00,BTCUSD,30,1609113600,26228.5,26785,26064,26724.5,139961701,5299.303117490008
2020-12-28 08:30:00,BTCUSD,30,1609115400,26724.5,26939,26695,26846.5,111173933,4138.9375170199755
2020-12-28 09:00:00,BTCUSD,30,1609117200,26846.5,27300,26776.5,27174,135908647,5012.451584430028
2020-12-28 09:30:00,BTCUSD,30,1609119000,27174,27336.5,26939,27044,102131793,3763.473020190027
2020-12-28 10:00:00,BTCUSD,30,1609120800,27044,27130.5,26894,27020,62267146,2304.938489720012
2020-12-28 10:30:00,BTCUSD,30,1609122600,27020,27146.5,26935.5,27077.5,34479079,1274.7090306999917
2020-12-28 11:00:00,BTCUSD,30,1609124400,27077.5,27166,26905.5,27057.5,53399696,1974.5853736400009
2020-12-28 11:30:00,BTCUSD,30,1609126200,27057.5,27251,27050,27249.5,48423900,1783.3076101299903
2020-12-28 12:00:00,BTCUSD,30,1609128000,27249.5,27281,26937,26947,58683965,2167.2651234199966
2020-12-28 12:30:00,BTCUSD,30,1609129800,26947,27035.5,26785,26833,70142016,2606.1862875499987
2020-12-28 13:00:00,BTCUSD,30,1609131600,26833,27126.5,26780.5,27097.5,50218120,1861.1249884200042
2020-12-28 13:30:00,BTCUSD,30,1609133400,27097.5,27098,26888,26920.5,49551676,1836.67971606999
2020-12-28 14:00:00,BTCUSD,30,1609135200,26920.5,26978,26854.5,26920,61114042,2271.424940680006
2020-12-28 14:30:00,BTCUSD,30,1609137000,26920,27068.5,26829,27020,48174636,1789.1509129700275
2020-12-28 15:00:00,BTCUSD,30,1609138800,27020,27184.5,26989.5,27106.5,61769408,2278.8203313600006
2020-12-28 15:30:00,BTCUSD,30,1609140600,27106.5,27162,26957,26977,44948769,1662.1195638100041
2020-12-28 16:00:00,BTCUSD,30,1609142400,26977,27016,26703.5,26891.5,107289769,3995.2086686699945
2020-12-28 16:30:00,BTCUSD,30,1609144200,26891.5,27071,26870,26937.5,42218015,1565.5835696700017
2020-12-28 17:00:00,BTCUSD,30,1609146000,26937.5,26987.5,26736,26987.5,39208549,1459.5830209500075
2020-12-28 17:30:00,BTCUSD,30,1609147800,26987.5,26987.5,26817,26826.5,27797799,1032.6320711500045
2020-12-28 18:00:00,BTCUSD,30,1609149600,26826.5,26913,26760,26777.5,36751531,1370.5268722800015
2020-12-28 18:30:00,BTCUSD,30,1609151400,26777.5,26853.5,26576,26729,87167651,3267.52772276002
2020-12-28 19:00:00,BTCUSD,30,1609153200,26729,26834,26693.5,26803.5,31257065,1166.9900880399975
2020-12-28 19:30:00,BTCUSD,30,1609155000,26803.5,26885,26622,26874,33898668,1266.148742379991
2020-12-28 20:00:00,BTCUSD,30,1609156800,26874,27065,26720.5,26997.5,60246339,2241.4621326299944
2020-12-28 20:30:00,BTCUSD,30,1609158600,26997.5,27138.5,26957,27115.5,55089647,2035.7744381599894
2020-12-28 21:00:00,BTCUSD,30,1609160400,27115.5,27455,27115,27445,152082032,5565.323630820047
2020-12-28 21:30:00,BTCUSD,30,1609162200,27445,27510,27155,27263,122828582,4495.626319929935
2020-12-28 22:00:00,BTCUSD,30,1609164000,27263,27354.5,27160.5,27295.5,58880380,2159.7926942100125
2020-12-28 22:30:00,BTCUSD,30,1609165800,27295.5,27373,27222.5,27321,42838824,1568.8849890799922
2020-12-28 23:00:00,BTCUSD,30,1609167600,27321,27341,27030,27095,77266584,2845.159713799991
2020-12-28 23:30:00,BTCUSD,30,1609169400,27095,27137.5,26840,26926,91247680,3386.843065160004
2020-12-29 00:00:00,BTCUSD,30,1609171200,26926,27101.5,26743.5,27065,106147872,3938.988372880009
2020-12-29 00:30:00,BTCUSD,30,1609173000,27065,27150,27007.5,27056,35280968,1303.3684842599994
2020-12-29 01:00:00,BTCUSD,30,1609174800,27056,27127.5,27020,27087.5,31122518,1149.4992223899967
2020-12-29 01:30:00,BTCUSD,30,1609176600,27087.5,27217,27087,27129.5,41109220,1513.7312982799785
2020-12-29 02:00:00,BTCUSD,30,1609178400,27129.5,27197.5,27036,27132.5,36513770,1346.0614630599862
2020-12-29 02:30:00,BTCUSD,30,1609180200,27132.5,27191.5,26881,26988,77782388,2879.9021726100164
2020-12-29 03:00:00,BTCUSD,30,1609182000,26988,27161,26987.5,27092,64682195,2389.320451600016
2020-12-29 03:30:00,BTCUSD,30,1609183800,27092,27162.5,26913.5,26995,53039997,1961.5114692099928
2020-12-29 04:00:00,BTCUSD,30,1609185600,26995,27074.5,26778,26827,89021638,3306.7618322000226
2020-12-29 04:30:00,BTCUSD,30,1609187400,26827,26841,26633.5,26821,124498282,4656.438210549981
2020-12-29 05:00:00,BTCUSD,30,1609189200,26821,26909.5,26754.5,26848.5,54144487,2018.6966445100034
2020-12-29 05:30:00,BTCUSD,30,1609191000,26848.5,26848.5,26557,26575.5,64491018,2416.0612988300145
2020-12-29 06:00:00,BTCUSD,30,1609192800,26575.5,26757.5,26541.5,26733,79194341,2972.3315389500012
2020-12-29 06:30:00,BTCUSD,30,1609194600,26733,26874,26364.5,26837,167538483,6297.305556670104
2020-12-29 07:00:00,BTCUSD,30,1609196400,26837,27040.5,26792.5,27040.5,61017703,2263.993598920001
2020-12-29 07:30:00,BTCUSD,30,1609198200,27040.5,27095,26984,27013.5,41980462,1552.5497763200028
2020-12-29 08:00:00,BTCUSD,30,1609200000,27013.5,27045,26861.5,26899.5,57675636,2139.2801572899803
2020-12-29 08:30:00,BTCUSD,30,1609201800,26899.5,26900,26731,26800.5,47544194,1773.829371179996
2020-12-29 09:00:00,BTCUSD,30,1609203600,26800.5,26824,26676.5,26731.5,46219634,1728.1644991000094
